metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
cat16_gwet_ac1,179,-0.005852293304243757,0.9380265452697083,-0.04596101341866115,0.5412449606081404
cat9_gwet_ac1,179,-0.017792743899438454,0.8131209975147683,-0.035249579869833396,0.6394636150396844
multi_jaccard,179,-0.08591193062925223,0.25283678223407424,-0.08158442977398622,0.2776165053978118
span21_jaccard,179,-0.037550095892355445,0.6177494473326498,-0.10605331363838896,0.1576721698884154
span24_jaccard,179,-0.03866552680712136,0.6073375952891846,-0.10827092103561342,0.1491156203620407
span17_jaccard,179,-0.0426202945698186,0.5710652580824559,-0.0983940934509827,0.19006639064948078
rq3_three_component,179,-0.04263457373461064,0.5709361652419233,-0.0758127891005982,0.31314136216348926
full_schema_three_component,179,-0.04292626246130398,0.5683021311854289,-0.07389415931068831,0.3255803636786413
two_component_rq3,179,-0.036727460546265814,0.6254774774447535,-0.0781205273283215,0.298596169592441
legacy_static,179,-0.024377374123808748,0.7460059698121814,-0.05308863206230239,0.48031291025549916
